letter,frequency
File1,17928
File2,3722
File3,148
File4,148
File5,9720
File6,35
File7,8593
File8,35
File9,19042
File10,1655
File11,4903
File12,2497
File13,10331
File14,6440
File15,2773
File16,2902
File17,3680
File18,11335
File19,7256
File20,9590
File21,11188
File22,4391
File23,4034
File24,20035
File25,4277
File26,35
File27,7735
File28,5296
File29,3072
File30,111
File31,5138
File32,4010
File33,4175
File34,7884
File35,17342
File36,1723
File37,2828
File38,2468
File39,6397
File40,1373
File41,2095
File42,9904
File43,25391
File44,7276
File45,8533
File46,12034
File47,1302
File48,10881
File49,2675
File50,5138
File51,15233
File52,1106
File53,4175
File54,7884
File55,2391
File56,14447
File57,8817
File58,2095
File59,66
File60,7009
File61,11771
File62,8466
File63,91
File64,4258
File65,7233
File66,8404
File67,8575
File68,8173
File69,7223
File70,4856
File71,5651
File72,3420
File73,3679
File74,3333
File75,3422
File76,3576
File77,8817
File78,14447
File79,7449
File80,6469
File81,11771
File82,7009
File83,18161
File84,12179
File85,18813
File86,8981
File87,7071
File88,10562
File89,7049
File90,18430
File91,6525
File92,5959
File93,6148
File94,6410
File95,9317
File96,6467
File97,6941
File98,6398
File99,18242
File100,17528
File101,18285
